in.county,time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2],totalPredicted
G4500590,2018-07-13T08:00:00Z,28.9,93.57,2.6,30,74.5,26,64.5,161.00130585628239
G4500590,2018-07-13T09:00:00Z,30.9,84.59,3.27,43.33,374,335.5,198.5,130.71056760607672
G4500590,2018-07-13T10:00:00Z,31.15,81.65,3.35,35,378,100,308,141.8784114011404
G4500590,2018-07-13T11:00:00Z,31.7,81.65,2.6,60,406,62,354,141.319194384969
G4500590,2018-07-13T12:00:00Z,32.5,79.28,3.35,70,484,83,406.5,141.7720451709015
G4500590,2018-07-13T13:00:00Z,32.5,74.26,4.1,65,609,152,461,128.85541643894817
G4500590,2018-07-13T14:00:00Z,32.8,71.6,4.1,70,632.5,181.5,458.5,131.76936413506286
G4500590,2018-07-13T15:00:00Z,32.97,71.6,3.6,80,635.5,229,428.5,132.76555113831955
G4500590,2018-07-13T16:00:00Z,33.3,69.55,3.1,100,549,284,328,151.4095277861009
G4500590,2018-07-13T17:00:00Z,33.3,72.13,3.6,110,453.5,305.5,255.5,163.23051125382582
G4500590,2018-07-13T18:00:00Z,32.8,71.6,4.1,80,342.5,347,181.5,170.10407854623415
G4500590,2018-07-13T19:00:00Z,31.7,76.38,2.6,70,183.5,257,111,173.86931711731486
G4500590,2018-07-13T20:00:00Z,30.6,79.06,1.5,80,35.5,59,29,195.08150289129273
G4500590,2018-07-13T21:00:00Z,29.4,87.55,0,36.67,0,0,0,181.15863841616977
G4500590,2018-07-13T22:00:00Z,27.8,96.42,0,0,0,0,0,153.93537519840268
G4500590,2018-07-13T23:00:00Z,27.8,96.42,1.5,40,0,0,0,158.49146634457733
G4500590,2018-07-14T00:00:00Z,27.8,96.42,2.1,50,0,0,0,160.29242848088953
G4500590,2018-07-14T01:00:00Z,27.8,96.42,0,116.67,0,0,0,154.38464149385527
G4500590,2018-07-14T02:00:00Z,27.8,96.42,0,13.33,0,0,0,153.99460958398987
G4500590,2018-07-14T03:00:00Z,27.8,96.42,0,0,0,0,0,153.9461811236421
G4500590,2018-07-14T04:00:00Z,27.8,93.52,1.5,40,0,0,0,161.18939215674266
G4500590,2018-07-14T05:00:00Z,27.2,96.99,1.5,30,0,0,0,150.863058077426
G4500590,2018-07-14T06:00:00Z,27.2,96.99,1.5,50,0.5,0,0.5,150.83865934298797
G4500590,2018-07-14T07:00:00Z,27.8,93.52,1.5,30,9.5,0,9.5,159.21112008454148
G4500590,2018-07-14T08:00:00Z,28.3,90.73,1.5,100,47,0,47,160.27544038916986
G4500590,2018-07-14T09:00:00Z,30,87.61,1.5,76.67,196,23,183,152.51708816768638
G4500590,2018-07-14T10:00:00Z,31.1,79.13,1.5,110,219,15.5,208,169.2187439087541
G4500590,2018-07-14T11:00:00Z,31.7,74.08,2.1,80,301,23.5,281,166.65799558211205
G4500590,2018-07-14T12:00:00Z,33.3,65.02,2.1,100,486,68,422.5,159.4880856789628
G4500590,2018-07-14T13:00:00Z,34.4,59.16,0,150,606.5,142.5,468,153.3389218154852
G4500590,2018-07-14T14:00:00Z,35,58.94,2.6,50,715.5,259.5,466.5,153.7280675839045
G4500590,2018-07-14T15:00:00Z,34.4,57,2.6,50,782.5,576,263.5,151.29804746307582
G4500590,2018-07-14T16:00:00Z,33.9,67.17,2.6,50,365.5,159,236,193.06845593662996
G4500590,2018-07-14T17:00:00Z,33.3,65.02,1.5,70,256,65,216.5,200.45513859529606
G4500590,2018-07-14T18:00:00Z,33.3,65.02,0,30,283.5,214,183.5,185.1939097662434
G4500590,2018-07-14T19:00:00Z,32.2,67.24,0,0,102,62,82,208.88981138782754
G4500590,2018-07-14T20:00:00Z,30.6,84.53,0,0,16.5,2.5,16,194.45201121846264
G4500590,2018-07-14T21:00:00Z,30,84.47,0,0,0,0,0,191.00051014007755
G4500590,2018-07-14T22:00:00Z,30,87.61,1.5,10,0,0,0,192.53324389792482
G4500590,2018-07-14T23:00:00Z,30,87.61,0,0,0,0,0,188.0953302877777
G4500590,2018-07-15T00:00:00Z,28.9,93.57,1.5,140,0,0,0,174.53712370690545
G4500590,2018-07-15T01:00:00Z,27.8,96.42,0,0,0,0,0,153.9937271946957
G4500590,2018-07-15T02:00:00Z,27.8,96.42,0,0,0,0,0,153.99588837974366
G4500590,2018-07-15T03:00:00Z,27.8,93.52,0,146.67,0,0,0,157.2418073579582
G4500590,2018-07-15T04:00:00Z,28.3,93.54,2.1,200,0,0,0,169.48686019146072
G4500590,2018-07-15T05:00:00Z,28.95,93.57,2.1,195,0,0,0,177.10711879970043
G4500590,2018-07-15T06:00:00Z,28.9,93.57,0,190,0.5,0,0.5,170.23526299042103
G4500590,2018-07-15T07:00:00Z,28.9,93.57,0,63.33,16,0,16,166.58032544653034
G4500590,2018-07-15T08:00:00Z,29.4,90.81,0,213.33,65,3,64,165.41947512483796
G4500590,2018-07-15T09:00:00Z,29.4,93.6,1.5,340,47.5,0,47.5,171.44984616704426
G4500590,2018-07-15T10:00:00Z,30.6,87.13,0,223.33,142,9.5,135,167.67115907229328
G4500590,2018-07-15T11:00:00Z,31.35,76.38,0.9,160,267,22.5,248.5,164.02344711283928
G4500590,2018-07-15T12:00:00Z,33.3,67.46,3.1,200,514,106.5,414.5,157.48190547995912
G4500590,2018-07-15T13:00:00Z,33.9,62.8,2.6,220,596.5,124,476,152.66953827694056
G4500590,2018-07-15T14:00:00Z,35,61.14,4.6,210,793,412,397.5,153.49456450416696
G4500590,2018-07-15T15:00:00Z,35,57.15,2.6,170,824.5,625,262.5,152.9327042796795
G4500590,2018-07-15T16:00:00Z,35.6,49.69,3.6,230,730.5,677.5,193,178.70258342379617
G4500590,2018-07-15T17:00:00Z,35,55.07,2.6,190,568,611.5,173,176.73776464717616
G4500590,2018-07-15T18:00:00Z,34.4,53.23,3.1,220,372.5,479.5,145.5,195.3919133178348
G4500590,2018-07-15T19:00:00Z,33.3,65.02,0,70,184,311.5,97,192.30286843830743
G4500590,2018-07-15T20:00:00Z,30.6,79.06,0,0,37.5,86.5,28,187.55444708410488
G4500590,2018-07-15T21:00:00Z,29.4,84.92,0,0,0,0,0,183.5601460935003
G4500590,2018-07-15T22:00:00Z,28.9,87.51,0,0,0,0,0,175.26637656767008
G4500590,2018-07-15T23:00:00Z,27.8,93.52,0,0,0,0,0,156.7283931526752
G4500590,2018-07-16T00:00:00Z,27.8,93.52,0,0,0,0,0,156.73055433772316
G4500590,2018-07-16T01:00:00Z,27.8,93.52,0,0,0,0,0,156.732715522771
G4500590,2018-07-16T02:00:00Z,28.3,93.54,1.5,230,0,0,0,167.88741219915906
G4500590,2018-07-16T03:00:00Z,27.8,96.42,3.1,170,0,0,0,163.7928182975379
G4500590,2018-07-16T04:00:00Z,27.8,93.52,0,0,0,0,0,156.73919907791475
G4500590,2018-07-16T05:00:00Z,26.7,96.39,0,0,0,0,0,141.11071788531547
G4500590,2018-07-16T06:00:00Z,26.7,100,0,0,1.5,1,1.5,137.3479358750025
G4500590,2018-07-16T07:00:00Z,28.35,95.15,0,210,61.5,69.5,49.5,144.4125407560619
G4500590,2018-07-16T08:00:00Z,30,90.3,1.5,150,158.5,122,120,151.8763616515394
G4500590,2018-07-16T09:00:00Z,30.55,87.7,2.35,185,293.5,129.5,224,140.88458563917413
G4500590,2018-07-16T10:00:00Z,31.74,79.28,1.68,276.67,408.5,127,320,141.49091545495193
G4500590,2018-07-16T11:00:00Z,32.6,76.55,1.4,220,456,86,384,144.81780760230384
G4500590,2018-07-16T12:00:00Z,33.379999999999995,71.8,1.02,195,604.5,164,452,133.56119893871335
G4500590,2018-07-16T13:00:00Z,33.9,69.66,2.1,180,689,224.5,471,133.32798416492824
G4500590,2018-07-16T14:00:00Z,33.82,79.37,2.6,255,641,212,436.5,133.7750380128628
G4500590,2018-07-16T15:00:00Z,34.07,72,2.6,220,659.5,312.5,380.5,142.72162624950138
G4500590,2018-07-16T16:00:00Z,33.2,82.34,3.43,123.33,576,344.5,299,138.0757009403374
G4500590,2018-07-16T17:00:00Z,31.27,90.66,3.27,123.33,454,362.5,217,122.38231207154502
G4500590,2018-07-16T18:00:00Z,30.3,87.61,2.35,140,160,72.5,124,165.16534935198501
G4500590,2018-07-16T19:00:00Z,28.42,100,2.9,220,9.5,0,9.5,165.4773068446488
G4500590,2018-07-16T20:00:00Z,28.3,100,3.7,168,4.5,0,4.5,167.2394985604574
G4500590,2018-07-16T21:00:00Z,28.05,96.42,1.5,215,0,0,0,162.25493176949936
G4500590,2018-07-16T22:00:00Z,27.8,100,0,0,0,0,0,150.77377735109408
G4500590,2018-07-16T23:00:00Z,27.8,100,2.6,180,0,0,0,159.089416191977
G4500590,2018-07-17T00:00:00Z,27.2,100,1.5,180,0,0,0,148.7880881812778
G4500590,2018-07-17T01:00:00Z,27.2,100,0.75,180,0,0,0,146.58918782971682
G4500590,2018-07-17T02:00:00Z,27.6,100,1.2,215,0,0,0,152.76166070279783
G4500590,2018-07-17T03:00:00Z,27.8,100,1.9,170,0,0,0,157.0057851093564
G4500590,2018-07-17T04:00:00Z,27.5,100,2.35,200,0,0,0,154.90480557794106
G4500590,2018-07-17T05:00:00Z,27.2,100,1.8,220,0,0,0,149.83112560906991
G4500590,2018-07-17T06:00:00Z,27.13,100,2.1,210,2,6.5,2,148.70886965340168
G4500590,2018-07-17T07:00:00Z,27.8,96.42,3.6,220,83,215,49.5,130.77929590536186
G4500590,2018-07-17T08:00:00Z,29.15,96.08,4.85,225,182,160.5,128.5,140.41614742355088
G4500590,2018-07-17T09:00:00Z,30,83.48,3.6,250,358,317,193.5,126.32091990121847
G4500590,2018-07-17T10:00:00Z,31.1,84.59,2.6,260,471.5,231,310,121.20940528702116
G4500590,2018-07-17T11:00:00Z,31.95,79.28,3.6,255,474.5,121.5,375,138.79423594087137
G4500590,2018-07-17T12:00:00Z,32.75,72.13,3.6,260,607.5,186,434,134.66554404130085
G4500590,2018-07-17T13:00:00Z,33.7,71.8,3.27,236.67,745,293,461,126.26112514200172
G4500590,2018-07-17T14:00:00Z,34.4,69.76,2.6,233.33,753.5,342,425.5,135.67851879669195
G4500590,2018-07-17T15:00:00Z,35.6,67.51,3.1,190,739,425.5,359,156.845321944758
G4500590,2018-07-17T16:00:00Z,36.1,65.61,4.1,220,749.5,763.5,144.5,170.85692835494893
G4500590,2018-07-17T17:00:00Z,36.1,61.39,4.1,220,581,694,134,186.5761458411731
G4500590,2018-07-17T18:00:00Z,35.6,65.11,3.6,220,313.5,335.5,157,214.7742496478195
G4500590,2018-07-17T19:00:00Z,32.2,76.92,3.6,40,100,40,87.5,212.22894487661918
G4500590,2018-07-17T20:00:00Z,29.07,100,3.77,230,19,2,19,173.61548246133773
G4500590,2018-07-17T21:00:00Z,27.77,98.04,7.4,280,0,0,0,175.0656324430002
G4500590,2018-07-17T22:00:00Z,27.51,100,3.59,216.67,0,0,0,158.7639819300112
G4500590,2018-07-17T23:00:00Z,27.2,100,1.5,160,0,0,0,148.7618919934248
G4500590,2018-07-18T00:00:00Z,27.2,100,1.5,180,0,0,0,148.8399566224272
G4500590,2018-07-18T01:00:00Z,27.2,100,1.5,220,0,0,0,148.9939246953843
G4500590,2018-07-18T02:00:00Z,27.2,96.99,0,186.67,0,0,0,147.25651484188037
G4500590,2018-07-18T03:00:00Z,27,100,0,100,0,0,0,141.78228145896136
G4500590,2018-07-18T04:00:00Z,26.08,100,1.74,182,0,0,0,136.35336892911673
G4500590,2018-07-18T05:00:00Z,26.1,100,0,66.67,0,0,0,131.0472123266255
G4500590,2018-07-18T06:00:00Z,26.1,100,0,70,1.5,2,1.5,130.52951706007218
G4500590,2018-07-18T07:00:00Z,27.8,96.42,0,0,48.5,52.5,41.5,139.66765613317887
G4500590,2018-07-18T08:00:00Z,29.4,90.81,0,116.67,143.5,89.5,111,145.47553677340858
G4500590,2018-07-18T09:00:00Z,31.7,81.65,1.5,340,368.5,306,203.5,141.47663925857012
G4500590,2018-07-18T10:00:00Z,32.8,69.45,2.6,70,506.5,293.5,301.5,148.81818371497124
G4500590,2018-07-18T11:00:00Z,33.3,67.46,3.6,50,560.5,212.5,385.5,151.67003004332233
G4500590,2018-07-18T12:00:00Z,33.9,65.15,4.1,10,509.5,87,428.5,168.6072566802327
G4500590,2018-07-18T13:00:00Z,33.3,63.05,3.6,40,653.5,198.5,461,141.62344607817556
G4500590,2018-07-18T14:00:00Z,35,57.15,2.1,90,769,350.5,433,149.89221493168026
G4500590,2018-07-18T15:00:00Z,36.1,55.34,2.6,70,789,529.5,314,168.56141020176466
G4500590,2018-07-18T16:00:00Z,36.7,53.49,3.1,30,742.5,734.5,162.5,185.423858729996
G4500590,2018-07-18T17:00:00Z,36.1,51.71,2.1,60,591,718.5,129,187.21382304688507
G4500590,2018-07-18T18:00:00Z,35.6,55.22,2.1,40,398.5,624.5,107,195.0576972600163
G4500590,2018-07-18T19:00:00Z,33.3,69.55,1.5,360,193.5,404.5,80,186.47274720972538
G4500590,2018-07-18T20:00:00Z,29.4,87.55,0,0,37.5,116.5,26,162.7028361543358
G4500590,2018-07-18T21:00:00Z,28.3,93.54,0,116.67,0,0,0,163.1999816589816
G4500590,2018-07-18T22:00:00Z,28.3,93.54,0,116.67,0,0,0,163.20214284402945
G4500590,2018-07-18T23:00:00Z,28.3,93.54,0,0,0,0,0,162.76152128876845
G4500590,2018-07-19T00:00:00Z,27.8,96.42,0,96.67,0,0,0,154.56591907059985
G4500590,2018-07-19T01:00:00Z,27.8,96.42,1.5,60,0,0,0,158.83103436437477
G4500590,2018-07-19T02:00:00Z,27.2,96.99,0,0,0,0,0,146.59993848887981
G4500590,2018-07-19T03:00:00Z,27.2,100,2.1,50,0,0,0,150.16578546230275
G4500590,2018-07-19T04:00:00Z,27.2,100,1.5,50,0,0,0,148.4070974180635
G4500590,2018-07-19T05:00:00Z,26.7,100,2.1,10,0,0,0,144.12224627055534
G4500590,2018-07-19T06:00:00Z,27.2,100,1.5,70,2,5,2,147.51470906660606
G4500590,2018-07-19T07:00:00Z,28.2,100,1.9,53.33,49.5,59,42.5,145.96106858328187
G4500590,2018-07-19T08:00:00Z,29.4,93.6,3.1,60,101.5,5.5,99.5,163.9896827934548
G4500590,2018-07-19T09:00:00Z,30.6,87.13,3.1,75,185.5,28.5,169.5,167.09839603753156
G4500590,2018-07-19T10:00:00Z,31.7,81.65,4.6,70,239,20.5,225,179.08293760941663
G4500590,2018-07-19T11:00:00Z,31.42,79.21,4.5,55,478,146,354,135.85700056736334
G4500590,2018-07-19T12:00:00Z,33.9,69.66,3.1,60,638,206,448,143.0810731322553
G4500590,2018-07-19T13:00:00Z,33.7,72.13,4.6,33.33,660,277,392,145.31696303683952
G4500590,2018-07-19T14:00:00Z,34.4,65.25,3.6,70,809,490.5,340,141.44777897137232
G4500590,2018-07-19T15:00:00Z,32.8,71.6,6.7,150,703.5,446,302,139.678789676709
G4500590,2018-07-19T16:00:00Z,29.76,97.04,1.02,165,354.5,91,282.5,111.42209949621645
G4500590,2018-07-19T17:00:00Z,30,90.3,0,33.33,107.5,4.5,104.5,164.0195368768549
G4500590,2018-07-19T18:00:00Z,30.6,77.51,0,156.67,142.5,21,133,175.64326635812432
G4500590,2018-07-19T19:00:00Z,29.75,86.98,2.6,10,19,1,18.5,189.74055606409686
G4500590,2018-07-19T20:00:00Z,28.9,96.45,1.5,30,5,1,5,170.56457842832083
G4500590,2018-07-19T21:00:00Z,27.8,96.42,2.1,20,0,0,0,160.48330040671053
G4500590,2018-07-19T22:00:00Z,27.2,100,0,0,0,0,0,143.85411706582144
G4500590,2018-07-19T23:00:00Z,27.2,96.99,1.5,10,0,0,0,151.08539817008054
G4500590,2018-07-20T00:00:00Z,27.2,96.99,1.5,20,0,0,0,151.12551107710564
G4500590,2018-07-20T01:00:00Z,26.7,100,1.5,40,0,0,0,142.5184759081579
G4500590,2018-07-20T02:00:00Z,26.7,100,2.1,350,0,0,0,145.4579897037886
G4500590,2018-07-20T03:00:00Z,26.7,96.39,2.1,10,0,0,0,147.51479330429942
G4500590,2018-07-20T04:00:00Z,26.7,96.39,1.5,50,0,0,0,145.90791214796928
G4500590,2018-07-20T05:00:00Z,26.7,93.47,2.1,40,0,0,0,150.33862258854214
G4500590,2018-07-20T06:00:00Z,26,100,1.5,55,1,1.5,1,133.9579779324509
G4500590,2018-07-20T07:00:00Z,27.03,93.49,2.27,26.67,30,0,30,148.51632501195675
G4500590,2018-07-20T08:00:00Z,27.2,96.99,2.1,40,63,0,63,140.06916943723994
G4500590,2018-07-20T09:00:00Z,27.8,93.52,2.77,40,78.5,0,78.5,149.1517915373933
G4500590,2018-07-20T10:00:00Z,30,90.41,3.1,50,320.5,85.5,258.5,131.75552535052609
G4500590,2018-07-20T11:00:00Z,30.85,76.75,3.1,45,540,174,395,115.52313933816183
G4500590,2018-07-20T12:00:00Z,31.95,71.4,3.1,60,669.5,236,451.5,114.10746117289008
G4500590,2018-07-20T13:00:00Z,33.3,63.05,4.1,30,739.5,283.5,465.5,131.72213982649146
G4500590,2018-07-20T14:00:00Z,33.9,58.68,3.1,156.67,763.5,335.5,442,138.8068520700997
G4500590,2018-07-20T15:00:00Z,33.9,56.53,4.1,50,765,499.5,319.5,148.53773442576548
G4500590,2018-07-20T16:00:00Z,35,55.07,4.1,20,742,751.5,149.5,167.51945631572679
G4500590,2018-07-20T17:00:00Z,33.9,58.68,3.1,10,585.5,721.5,122.5,158.64432355696763
G4500590,2018-07-20T18:00:00Z,33.3,58.53,2.6,360,393,624,103.5,168.45110777695314
G4500590,2018-07-20T19:00:00Z,32.2,67.24,1.5,360,191,414,76.5,175.38199242912134
G4500590,2018-07-20T20:00:00Z,28.3,90.73,0,0,35,100.5,25.5,148.81518355185244
G4500590,2018-07-20T21:00:00Z,27.2,96.99,0,150,0,0,0,147.2621452755984
G4500590,2018-07-20T22:00:00Z,26.7,96.39,1.5,140,0,0,0,146.28837897662697
G4500590,2018-07-20T23:00:00Z,26.7,86.72,0,53.33,0,0,0,150.5196444473812
G4500590,2018-07-21T00:00:00Z,26.7,93.47,1.5,300,0,0,0,149.60558064657437
G4500590,2018-07-21T01:00:00Z,25.6,100,0,106.67,0,0,0,125.44992512385726
G4500590,2018-07-21T02:00:00Z,25.6,100,2.6,190,0,0,0,133.3986846683859
G4500590,2018-07-21T03:00:00Z,25,100,0,0,0,0,0,117.97415086690054
G4500590,2018-07-21T04:00:00Z,25,100,0,110,0,0,0,118.3937809936985
G4500590,2018-07-21T05:00:00Z,25,100,0,0,0,0,0,117.97847323699634
G4500590,2018-07-21T06:00:00Z,25,100,2.1,60,0.5,0.5,0.5,124.2125776217976
G4500590,2018-07-21T07:00:00Z,25.6,96.12,2.1,320,5.5,0,5.5,134.90357271384028
G4500590,2018-07-21T08:00:00Z,25.6,96.36,0,0,13.5,0,13.5,125.66651034259415
G4500590,2018-07-21T09:00:00Z,25.6,96.36,4.1,140,65,0,65,127.6787389344244
G4500590,2018-07-21T10:00:00Z,27.2,87.36,2.6,140,342,97,273,96.14280357114367
G4500590,2018-07-21T11:00:00Z,30.6,75.25,2.1,73.33,708.5,572.5,226,97.05537823675786
G4500590,2018-07-21T12:00:00Z,32.2,71.93,0,216.67,917.5,853.5,130,97.89018178583935
G4500590,2018-07-21T13:00:00Z,32.8,69.45,3.6,220,968,866,131,115.65728640235345
G4500590,2018-07-21T14:00:00Z,33.3,69.55,3.1,230,917,753,195.5,120.87378665078707
G4500590,2018-07-21T15:00:00Z,34.4,63.29,4.1,250,847.5,744.5,182,147.03117173519706
G4500590,2018-07-21T16:00:00Z,34.4,63.29,3.6,230,759,811.5,119,151.15523392282608
G4500590,2018-07-21T17:00:00Z,34.4,63.29,4.6,220,592.5,766.5,101.5,164.43358931296885
G4500590,2018-07-21T18:00:00Z,33.9,67.17,3.6,240,395.5,658,90.5,168.70928737214876
G4500590,2018-07-21T19:00:00Z,31.7,71.4,3.6,220,174,335.5,79.5,179.76738125497334
G4500590,2018-07-21T20:00:00Z,30.6,84.53,2.6,210,30.5,68,23,194.3545738598706
G4500590,2018-07-21T21:00:00Z,30.6,84.53,1.5,190,0,0,0,203.50646504376292
G4500590,2018-07-21T22:00:00Z,28.65,87.36,4.75,205,0,0,0,187.48661553632505
G4500590,2018-07-21T23:00:00Z,26.03,86.77,4.27,281.67,0,0,0,156.0224366069584
G4500590,2018-07-22T00:00:00Z,25.66,91.39,3.27,213.33,0,0,0,144.1865465920317
G4500590,2018-07-22T01:00:00Z,25.3,96.02,3.6,195,0,0,0,136.5523240931337
G4500590,2018-07-22T02:00:00Z,25.6,92.83,3.6,250,0,0,0,143.25668442903557
G4500590,2018-07-22T03:00:00Z,25,100,3.1,270,0,0,0,128.14843681941977
G4500590,2018-07-22T04:00:00Z,25,100,2.1,260,0,0,0,125.17789756701201
G4500590,2018-07-22T05:00:00Z,24.4,100,1.5,210,0,0,0,116.15418530416547
G4500590,2018-07-22T06:00:00Z,24.7,100,0.75,200,1,7,1,116.46217431166227
G4500590,2018-07-22T07:00:00Z,26.1,93.71,2.1,240,84,321,37.5,99.55469926688049
G4500590,2018-07-22T08:00:00Z,27.5,87.41,2.35,260,268.5,599,68.5,83.2901852968999
G4500590,2018-07-22T09:00:00Z,30,78.97,2.6,260,472,736,87,99.97004762717252
G4500590,2018-07-22T10:00:00Z,31.7,71.4,3.1,250,662,813,98.5,115.36883467999459
G4500590,2018-07-22T11:00:00Z,32.33,66.94,2.6,270,817.5,856,108,117.06107844877255
G4500590,2018-07-22T12:00:00Z,33.3,63.05,3.1,133.33,925,882,112,128.10810476776578
G4500590,2018-07-22T13:00:00Z,33.9,58.68,3.6,240,857.5,598,280.5,141.27909759161233
G4500590,2018-07-22T14:00:00Z,34.4,57,3.1,250,873.5,650.5,251.5,146.81647497841664
G4500590,2018-07-22T15:00:00Z,34.4,53.23,3.1,250,618.5,344.5,309.5,176.49775685081386
G4500590,2018-07-22T16:00:00Z,34.4,57,4.6,250,726,715,164,162.59036889682375
G4500590,2018-07-22T17:00:00Z,31.1,69.12,3.6,290,507.5,503.5,180,132.911364630084
G4500590,2018-07-22T18:00:00Z,29.63,73.89,2.07,235,171,73,135.5,167.42038164376356
G4500590,2018-07-22T19:00:00Z,30,78.97,1.5,270,38,9.5,35.5,193.56107368643686
G4500590,2018-07-22T20:00:00Z,27.8,93.52,0,0,7,6.5,7,154.9189126721418
G4500590,2018-07-22T21:00:00Z,27.2,90.33,0,116.67,0,0,0,153.410498877832
G4500590,2018-07-22T22:00:00Z,26.67,90.32,0,120,0,0,0,147.18474596257278
G4500590,2018-07-22T23:00:00Z,26.7,90.06,1.5,280,0,0,0,152.79093524966967
G4500590,2018-07-23T00:00:00Z,25.6,96.36,0,76.67,0,0,0,128.81044440980057
G4500590,2018-07-23T01:00:00Z,25,100,0,3.33,0,0,0,118.08620330252198
G4500590,2018-07-23T02:00:00Z,25,100,1.5,160,0,0,0,123.0850771890057
G4500590,2018-07-23T03:00:00Z,25,100,2.1,320,0,0,0,125.45531515497714
G4500590,2018-07-23T04:00:00Z,25,95.99,0,20,0,0,0,121.87159056667524
G4500590,2018-07-23T05:00:00Z,24.55,100,0.9,180,0,0,0,116.10016575227617
G4500590,2018-07-23T06:00:00Z,24.7,100,1.4,206.67,0,0,0,119.43973493975699
G4500590,2018-07-23T07:00:00Z,24.91,100,3.37,66.67,16,3,16,123.55188589252711
G4500590,2018-07-23T08:00:00Z,25.15,100,3.22,40,108,52,90,104.95429909057138
G4500590,2018-07-23T09:00:00Z,26.08,100,2.17,45,163.5,11.5,158,103.62895040248681
G4500590,2018-07-23T10:00:00Z,27.5,93.52,2.6,40,232.5,17.5,220,114.16122922878797
G4500590,2018-07-23T11:00:00Z,29.45,81.93,3.1,25,540,185,386,94.79600707465491
G4500590,2018-07-23T12:00:00Z,31.3,77.09,1.73,40,733,384,378.5,93.94796699481432
G4500590,2018-07-23T13:00:00Z,31.95,74.08,2.05,236.67,701,344,368.5,112.89610356785198
G4500590,2018-07-23T14:00:00Z,33.9,65.15,2.1,340,910,742,201.5,129.7718262180659
G4500590,2018-07-23T15:00:00Z,31.1,81.79,3.35,55,449.5,190,276.5,136.89522202708218
G4500590,2018-07-23T16:00:00Z,26.4,96.97,3.4,134,57,0,57,136.2283885020591
G4500590,2018-07-23T17:00:00Z,26.4,96.39,1.5,105,101,4.5,98.5,122.04194842795127
G4500590,2018-07-23T18:00:00Z,27.5,93.52,2.6,45,330.5,407.5,147,83.27828691078997
G4500590,2018-07-23T19:00:00Z,27.2,100,2.1,40,170.5,294.5,92.5,97.36279333645042
G4500590,2018-07-23T20:00:00Z,27.2,96.99,1.5,50,31.5,63,25,139.148845046512
G4500590,2018-07-23T21:00:00Z,26.7,100,2.1,10,0,0,0,144.36429899591926
G4500590,2018-07-23T22:00:00Z,26.7,100,1.8,45,0,0,0,143.61886659324404
G4500590,2018-07-23T23:00:00Z,26,100,0,30,0,0,0,130.02707596395717
G4500590,2018-07-24T00:00:00Z,26,100,2.1,23.33,0,0,0,136.16689565295093
G4500590,2018-07-24T01:00:00Z,26.78,96.39,2.7,32.5,0,0,0,150.50755405036674
G4500590,2018-07-24T02:00:00Z,26.1,100,2.6,30,0,0,0,138.84311711413164
G4500590,2018-07-24T03:00:00Z,26.1,100,2.6,360,0,0,0,140.09768512442983
G4500590,2018-07-24T04:00:00Z,26.1,100,2.6,35,0,0,0,138.86641534521607
G4500590,2018-07-24T05:00:00Z,26.1,100,1.8,30,0,0,0,136.5018016968925
G4500590,2018-07-24T06:00:00Z,26.1,100,2.1,15,0.5,0.5,0.5,137.16872047900304
G4500590,2018-07-24T07:00:00Z,26.6,96.39,1.9,40,44.5,67.5,34,131.39203269007098
G4500590,2018-07-24T08:00:00Z,26.95,93.49,2.35,40,141.5,182,88.5,114.98048112813333
G4500590,2018-07-24T09:00:00Z,27.8,90.14,2.1,60,153,21.5,142.5,134.9437947990141
G4500590,2018-07-24T10:00:00Z,28.3,90.73,1.5,70,183,5,179.5,132.92844155319338
G4500590,2018-07-24T11:00:00Z,29.15,81.86,1.8,90,393,72,333,112.47648348429318
G4500590,2018-07-24T12:00:00Z,31.35,71.2,0.75,40,762,531,269,101.45879417903329
G4500590,2018-07-24T13:00:00Z,32.9,66.94,1.5,106.67,891,697.5,219,115.57018200504913
G4500590,2018-07-24T14:00:00Z,33.6,65.15,0.75,93.33,936,811.5,161.5,120.9971207849014
G4500590,2018-07-24T15:00:00Z,33.9,62.8,2.1,150,865.5,792,157.5,134.67723546891727
G4500590,2018-07-24T16:00:00Z,34.4,59.16,1.5,200,740.5,748.5,152.5,149.68975739881708
G4500590,2018-07-24T17:00:00Z,34.4,59.16,1.5,100,570.5,671,143,161.84372422244502
G4500590,2018-07-24T18:00:00Z,35,55.07,1.5,50,370.5,527,129,193.75515718368155
G4500590,2018-07-24T19:00:00Z,33.3,72.13,0,53.33,171.5,316.5,87.5,187.5371840461743
G4500590,2018-07-24T20:00:00Z,30.7,73.73,2.08,76.67,31.5,72.5,24.5,202.8564406176333
G4500590,2018-07-24T21:00:00Z,28.7,87.46,1.42,290,0,0,0,178.6868822499368
G4500590,2018-07-24T22:00:00Z,27.2,96.99,0,16.67,0,0,0,146.96576991612085
G4500590,2018-07-24T23:00:00Z,26.7,96.39,1.5,310,0,0,0,147.14319319988633
G4500590,2018-07-25T00:00:00Z,26.7,96.39,0,126.67,0,0,0,142.04746239270696
G4500590,2018-07-25T01:00:00Z,26.4,100,1.05,350,0,0,0,139.09605176887501
G4500590,2018-07-25T02:00:00Z,26.1,100,0.75,350,0,0,0,134.68015553491895
